,rank,name,mcap,mcap_raw,inflow,outflow,netflow,inflow_raw,outflow_raw,netflow_raw
0,1,BTC,$518.9B,518851160825.199000000,$312.1M,$305.6M,$6.6M,312142291.39881057,305584242.68395394,6558048.714856614
1,2,ETH,$196.5B,196501039539.963800000,$141.3M,$171.7M,$-30.4M,141291502.97220677,171734370.95665348,-30442867.984446697
2,3,HIFI,$105.4M,105430026.449603740,$105.6M,$116.4M,$-10.8M,105566075.86258104,116351455.06224635,-10785379.199665297
3,4,XRP,$26.6B,26566860587.249360000,$57.5M,$61.8M,$-4.2M,57522715.70573871,61769089.16196695,-4246373.456228236
4,5,WLD,$173.5M,173514339.991507980,$50.3M,$56.4M,$-6.1M,50283105.178244755,56408249.16265426,-6125143.9844095
5,6,USDC,$26.2B,26244681110.126995000,$26.2M,$55.6M,$-29.5M,26153116.84984105,55604717.919126436,-29451601.06928539
6,7,USDT,$83.4B,83364684070.584490000,$37.9M,$37.9M,$-22.1K,37885053.92473306,37907191.16516609,-22137.240433043524
7,8,BNB,$33.4B,33370263004.755657000,$37.7M,$30M,$7.7M,37685394.050134465,30000024.13040961,7685369.919724858
8,9,FRONT,$23.2M,23212193.165999997,$34.1M,$33M,$1.2M,34137601.56608835,32954563.8165823,1183037.749506052
9,10,TRB,$66.9M,66858965.567152230,$24M,$25.1M,$-1M,24045127.48079747,25051946.226450723,-1006818.7456532528
10,11,LTC,$4.7B,4736655484.325163000,$25.6M,$23.4M,$2.2M,25574343.077005535,23362728.181783855,2211614.895221678
12,13,BUSD,$2.6B,2605073736.321798300,$17.5M,$20.8M,$-3.3M,17517710.88163599,20825372.209075656,-3307661.32743967
13,14,SOL,$7.8B,7835997097.424616000,$18M,$17.9M,$123.4K,18031208.013508968,17907831.25215336,123376.76135560859
14,15,BCH,$4.2B,4166725110.368212700,$17.2M,$17.4M,$-194K,17238849.572231103,17432874.052151687,-194024.47992058512
15,16,DOGE,$8.8B,8763482965.750174000,$13.3M,$17M,$-3.7M,13293266.473510472,17042001.219336327,-3748734.745825857
16,17,STORJ,$148.7M,148708307.636733650,$14.5M,$13.3M,$1.2M,14506939.6901894,13340620.50204024,1166319.1881491581
17,18,RUNE,$638.3M,638301595.624221300,$13.1M,$11.5M,$1.6M,13109051.398858028,11470237.362575913,1638814.0362821142
18,19,TUSD,$3.2B,3191093386.747699000,$9.7M,$13.9M,$-4.2M,9739248.025191162,13899939.17267358,-4160691.1474824185
19,20,MTL,$82.3M,82349726.866710040,$11.6M,$11.7M,$-131.3K,11574173.803236429,11705444.989926394,-131271.18668996566
20,21,TON,$8.1B,8099296511.242637000,$11.2M,$12.1M,$-916.6K,11177949.909925662,12094511.547966925,-916561.6380412632
21,22,TRX,$7.5B,7451446148.386935000,$10.8M,$12.1M,$-1.3M,10835272.649429247,12098688.584513173,-1263415.9350839246
22,23,APE,$414.1M,414094863.903145800,$11M,$11.4M,$-432.3K,10984621.046411276,11416956.451296503,-432335.4048852277
23,24,FIDA,$7M,6998580.854230285,$11M,$11.4M,$-406.4K,10985155.967399409,11391593.451521266,-406437.4841218581
